127.0.0.1 - - [21/Mar/2023:09:35:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /jspMiniProject/index.jsp HTTP/1.1" 200 7535
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /jspMiniProject/menu/css/font-awesome.css HTTP/1.1" 200 15825
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /jspMiniProject/menu/css/menu.css HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /image/banner-01.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /image/banner-02.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /image/banner-03.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /image/banner-04.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /jspMiniProject/menu/images/plus-gray.png HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:59 +0900] "GET /jspMiniProject/index.jsp?main=login/loginmain.jsp HTTP/1.1" 200 8665
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:59 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:59 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:35:59 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:02 +0900] "POST /jspMiniProject/login/loginaction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:02 +0900] "GET /jspMiniProject/index.jsp?main=login/loginmain.jsp HTTP/1.1" 200 8172
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:02 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:02 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:02 +0900] "GET /jspMiniProject/image/01.png HTTP/1.1" 200 25042
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:02 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:06 +0900] "GET /jspMiniProject/menu/font/fontawesome-webfont.woff?v=3.0.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:09 +0900] "GET /jspMiniProject/index.jsp?main=member/addform.jsp HTTP/1.1" 200 11792
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:09 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:09 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:09 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:11 +0900] "GET /jspMiniProject/index.jsp?main=member/myinfo.jsp HTTP/1.1" 200 8178
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:11 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:11 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:11 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:12 +0900] "GET /jspMiniProject/index.jsp?main=member/myinfoupdate.jsp?num=9 HTTP/1.1" 200 10567
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:12 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:12 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:12 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:34 +0900] "POST /jspMiniProject/member/myinfoupdateaction.jsp HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:36:50 +0900] "POST /jspMiniProject/member/member/myinfoupdateaction.jsp HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:03 +0900] "GET /jspMiniProject/index.jsp HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:03 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:03 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:03 +0900] "GET /image/banner-02.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:03 +0900] "GET /image/banner-01.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:03 +0900] "GET /image/banner-03.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:03 +0900] "GET /image/banner-04.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:03 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:07 +0900] "GET /jspMiniProject/index.jsp?main=member/myinfo.jsp HTTP/1.1" 200 8178
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:07 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:07 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:07 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:08 +0900] "GET /jspMiniProject/index.jsp?main=member/myinfoupdate.jsp?num=9 HTTP/1.1" 200 10567
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:08 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:08 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:08 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [21/Mar/2023:09:39:21 +0900] "POST /jspMiniProject/member/myinfoupdateaction.jsp HTTP/1.1" 302 -
