127.0.0.1 - - [09/Mar/2023:09:25:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /jspMiniProject/index.jsp HTTP/1.1" 200 6727
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /jspMiniProject/menu/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /jspMiniProject/menu/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /image/banner-01.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /image/banner-02.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /image/banner-03.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /image/banner-04.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /jspMiniProject/menu/images/plus-gray.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:53 +0900] "GET /jspMiniProject/index.jsp?main=board/boardlist.jsp HTTP/1.1" 200 11012
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:53 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:53 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:53 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/index.jsp?main=board/smartform.jsp HTTP/1.1" 200 8901
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/js/HuskyEZCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/photo_uploader/plugin/hp_SE2M_AttachQuickPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/SmartEditor2Skin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/js/jindo_component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/js/jindo.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/css/smart_editor2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/js/SE2B_Configuration_Service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/js/SE2BasicCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/js/smarteditor2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/js/SE2B_Configuration_General.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/img/bg_text_tool.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/img/ko_KR/text_tool_set.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/img/ko_KR/btn_set.png?130306 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/img/ico_extend.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/img/icon_set.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/smart_editor2_inputarea.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/css/smart_editor2_items.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/img/bg_button_left.gif?20121228 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/img/bg_button.gif?20121228 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/img/bg_button_right.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:54 +0900] "GET /jspMiniProject/se2/css/smart_editor2_in.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:56 +0900] "GET /jspMiniProject/index.jsp?main=board/boardlist.jsp HTTP/1.1" 200 11012
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:56 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:56 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:56 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:58 +0900] "GET /jspMiniProject/index.jsp?main=shop/shoplist.jsp HTTP/1.1" 200 9505
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:58 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Mar/2023:09:25:58 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
