0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/js/smarteditor2.min.js HTTP/1.1" 200 324208
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/js/SE2BasicCreator.js HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/js/SE2B_Configuration_Service.js HTTP/1.1" 200 1965
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/img/ko_KR/text_tool_set.png HTTP/1.1" 200 11403
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/img/bg_text_tool.gif HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/img/ico_extend.png HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/img/icon_set.gif HTTP/1.1" 200 4611
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/img/ko_KR/btn_set.png?130306 HTTP/1.1" 200 30728
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/smart_editor2_inputarea.html HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/css/smart_editor2_items.css HTTP/1.1" 200 57278
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/img/bg_button.gif?20121228 HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/img/bg_button_left.gif?20121228 HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/img/bg_button_right.gif HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:33 +0900] "GET /jspMiniProject/se2/css/smart_editor2_in.css HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:35 +0900] "GET /jspMiniProject/index.jsp?main=board/boardlist.jsp HTTP/1.1" 200 11820
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:35 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:35 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:35 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:37 +0900] "GET /jspMiniProject/index.jsp?main=board/detailview.jsp?num=3&currentPage=1 HTTP/1.1" 200 14014
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:37 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:37 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [03/May/2023:16:13:38 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [03/May/2023:16:19:21 +0900] "GET /jspMiniProject/guest/ajaxlikechu.jsp?num=7 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [03/May/2023:16:19:22 +0900] "GET /jspMiniProject/guest/ajaxlikechu.jsp?num=7 HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [03/May/2023:16:19:25 +0900] "GET /jspMiniProject/guest/ajaxlikechu.jsp?num=7 HTTP/1.1" 200 19
