127.0.0.1 - - [22/Mar/2023:11:01:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /jspMiniProject/index.jsp HTTP/1.1" 200 7535
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /jspMiniProject/menu/css/menu.css HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /jspMiniProject/menu/css/font-awesome.css HTTP/1.1" 200 15825
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /image/banner-01.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /image/banner-02.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /image/banner-03.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /image/banner-04.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /jspMiniProject/menu/images/plus-gray.png HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:23 +0900] "GET /jspMiniProject/menu/font/fontawesome-webfont.woff?v=3.0.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:24 +0900] "GET /jspMiniProject/index.jsp?main=login/loginmain.jsp HTTP/1.1" 200 8666
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:24 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:24 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:24 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:30 +0900] "GET /jspMiniProject/index.jsp?main=member/addform.jsp HTTP/1.1" 200 11718
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:30 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:30 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:30 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:33 +0900] "GET /jspMiniProject/member/idsearch.jsp?id=123 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:46 +0900] "POST /jspMiniProject/member/addaction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:46 +0900] "GET /jspMiniProject/index.jsp?main=member/gaipsuccess.jsp?id=123 HTTP/1.1" 200 7718
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:46 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:46 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:46 +0900] "GET /jspMiniProject/image2/s6.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:46 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:47 +0900] "GET /jspMiniProject/index.jsp?main=login/loginmain.jsp HTTP/1.1" 200 8666
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:47 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:47 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:47 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:49 +0900] "POST /jspMiniProject/login/loginaction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:49 +0900] "GET /jspMiniProject/index.jsp?main=login/loginmain.jsp HTTP/1.1" 200 8160
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:49 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:49 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:49 +0900] "GET /jspMiniProject/image/01.png HTTP/1.1" 200 25042
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:49 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:51 +0900] "GET /jspMiniProject/login/logoutaction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:51 +0900] "GET /jspMiniProject/index.jsp?main=login/loginmain.jsp HTTP/1.1" 200 8666
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:51 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:51 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:51 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:53 +0900] "POST /jspMiniProject/login/loginaction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:53 +0900] "GET /jspMiniProject/index.jsp?main=login/loginmain.jsp HTTP/1.1" 200 8160
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:53 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:53 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:53 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:55 +0900] "GET /jspMiniProject/index.jsp?main=member/myinfo.jsp HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:55 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:55 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:56 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:57 +0900] "GET /jspMiniProject/member/myinfodelete.jsp?num=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:57 +0900] "GET /jspMiniProject/index.jsp?main=login/loginmain.jsp HTTP/1.1" 200 8666
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:57 +0900] "GET /jspMiniProject/js/jquery.js HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:57 +0900] "GET /jspMiniProject/js/function.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:01:57 +0900] "GET /jspMiniProject/menu/images/patterns/light_toast.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [22/Mar/2023:11:02:00 +0900] "POST /jspMiniProject/login/loginaction.jsp HTTP/1.1" 200 584
